Altium Designer Pick and Place Locations
D:\Projekte\UltraZohm\Work_Altium\uz_a_max11331\Project Outputs for UZ_A_MAX11331\Pick Place\PickPlace_UZ_A_MAX11331_Rev01.csv

========================================================================================================================
File Design Information:

Date:       02.12.22
Time:       17:27
Revision:   65c6ec55fddcc0ca2cf727c99b5962e99a75915c
Variant:    Differential_Input
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"C45","C_0603","23.9000","23.9000","66.6000","66.6000","23.9000","67.3000","270","1 µF","TopLayer"
"C44","C_0603","17.9000","17.9000","73.1000","73.1000","18.6000","73.1000","180","1 µF","TopLayer"
"C17C","C_0603","70.1000","70.1000","83.9000","83.9000","70.8000","83.9000","180","100 nF","TopLayer"
"C17B","C_0603","70.0000","70.0000","56.3500","56.3500","70.7000","56.3500","180","100 nF","TopLayer"
"C17A","C_0603","70.0000","70.0000","28.6000","28.6000","70.7000","28.6000","180","100 nF","TopLayer"
"C37","C_0603","37.1000","37.1000","72.6000","72.6000","37.8000","72.6000","180","10 µF","TopLayer"
"C36","C_0603","37.1000","37.1000","73.8000","73.8000","37.8000","73.8000","180","10 µF","TopLayer"
"C35","C_0603","38.8000","38.8000","70.3000","70.3000","38.8000","69.6000","90","10 µF","TopLayer"
"C34","C_0603","37.6000","37.6000","70.3000","70.3000","37.6000","69.6000","90","10 µF","TopLayer"
"C33","C_0603","36.4000","36.4000","70.3000","70.3000","36.4000","69.6000","90","100 nF","TopLayer"
"C32","C_0603","29.2000","29.2000","71.0000","71.0000","29.2000","71.7000","270","100 nF","TopLayer"
"C31","C_0603","28.0000","28.0000","71.0000","71.0000","28.0000","71.7000","270","10 µF","TopLayer"
"C14C","C_0603","84.2000","84.2000","84.5000","84.5000","83.5000","84.5000","0","100 nF","TopLayer"
"C14B","C_0603","84.1000","84.1000","56.9500","56.9500","83.4000","56.9500","0","100 nF","TopLayer"
"C14A","C_0603","84.1000","84.1000","29.2000","29.2000","83.4000","29.2000","0","100 nF","TopLayer"
"C13C","C_0603","80.8209","80.8209","92.3093","92.3093","80.1209","92.3093","0","100 nF","TopLayer"
"C13B","C_0603","80.7209","80.7209","64.7593","64.7593","80.0209","64.7593","0","100 nF","TopLayer"
"C13A","C_0603","80.7209","80.7209","37.0093","37.0093","80.0209","37.0093","0","100 nF","TopLayer"
"C43","C_0603","43.0000","43.0000","81.4000","81.4000","42.3000","81.4000","0","10 µF","TopLayer"
"C42","C_0603","43.0000","43.0000","82.6000","82.6000","42.3000","82.6000","0","100 nF","TopLayer"
"C41","C_0603","48.8000","48.8000","84.3000","84.3000","48.8000","85.0000","270","10 µF","TopLayer"
"C40","C_0603","47.6000","47.6000","84.3000","84.3000","47.6000","85.0000","270","100 nF","TopLayer"
"C39","C_0603","42.2000","42.2000","86.1000","86.1000","42.2000","85.4000","90","100 nF","TopLayer"
"C29","C_0603","10.3000","10.3000","88.3000","88.3000","9.6000","88.3000","0","100 nF","TopLayer"
"C28","C_0603","13.8000","13.8000","91.2000","91.2000","13.1000","91.2000","0","27 nF","TopLayer"
"C26","C_0603","14.5000","14.5000","79.3000","79.3000","14.5000","80.0000","270","10 µF","TopLayer"
"C25","C_0603","13.3000","13.3000","79.3000","79.3000","13.3000","80.0000","270","10 µF","TopLayer"
"C24","C_0603","12.1000","12.1000","79.3000","79.3000","12.1000","80.0000","270","100 nF","TopLayer"
"C23","C_0603","10.7000","10.7000","85.9000","85.9000","10.7000","85.2000","90","100 nF","TopLayer"
"C19","C_0603","28.2000","28.2000","81.0000","81.0000","28.2000","81.7000","270","3.3 nF","TopLayer"
"C18","C_0603","19.3000","19.3000","88.0000","88.0000","19.3000","88.7000","270","10 nF","TopLayer"
"C16C","C_0603","70.1000","70.1000","92.9000","92.9000","69.4000","92.9000","0","100 nF","TopLayer"
"C16B","C_0603","70.0000","70.0000","65.3500","65.3500","69.3000","65.3500","0","100 nF","TopLayer"
"C16A","C_0603","70.0000","70.0000","37.6000","37.6000","69.3000","37.6000","0","100 nF","TopLayer"
