UZgenMPN,LCSC Part Number
UZgen_R_0603_4k7,C23162
UZgen_R_0603_1k,C21190
UZgen_R_0603_10k,C25804
UZgen_R_0603_100k,C25803
UZgen_R_0603_0R,C21189
UZgen_R_0402_51R,C5122077
UZgen_R_0402_10R,C25077
UZgen_R_0402_100R,C25076
UZgen_R_0402_0R,C17168
UZgen_C_0603_10nF_50V_X7R,C57112
UZgen_C_0603_100nF_50V_X7R,C14663
UZgen_C_0402_56pF_50V_NP0,C1572
UZgen_C_0402_10nF_50V_NP0,C3855387
UZgen_C_0402_100nF_50V_X7R,C1525
UZgen_C_0402_1.5nF_50V_NP0,C668348
UZgen_C_0603_1uF_16V_X7R,C15849
UZgen_R_0402_100k,C25741
UZgen_R_0402_10k,C25744
UZgen_R_0402_13k,C25754
UZgen_R_0402_20k,C25765
UZgen_R_0402_22k,C25768
UZgen_R_0402_33k,C25779
UZgen_R_0402_390R,C25109
UZgen_R_0402_680R,C25130
UZgen_R_1206_0R,C17888
