"Quantity","Comment","Designator","Manufacturer","Value","Description","Footprint","Voltage","Dielectric","Manufacturer Part Number","LCSC Part Number"
"37","10 µF","C1A, C1B, C1C, C4A, C4B, C4C, C5A, C5B, C5C, C25, C26, C31A, C31B, C31C, C34A, C34B, C34C, C35A, C35B, C35C, C36A, C36B, C36C, C37A, C37B, C37C, C38, C41, C43, C64, C70, C71, C73, C74, C76, C78, C80","Samsung Electro-Mechanics","10 µF","Capacitor 0603, 16 VDC, 10 µF, X5R","C_0603_TE","","","CL10A106MO8NQNC","C92487"
"24","100 nF","C2A, C2B, C2C, C3A, C3B, C3C, C23, C24, C32A, C32B, C32C, C33A, C33B, C33C, C39, C40, C42, C68, C69, C75, C77, C79, C81, C82","YAGEO","100 nF","50V 100nF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0603_TE","50V","","CC0603KRX7R9BB104","C14663"
"3","470 nF","C6A, C6B, C6C","Samsung Electro-Mechanics","470 nF","Capacitor 0603, 50 VDC, 470 nF, X5R","C_0603","","","CL10A474KB8NNNC","C170149"
"48","56 pF","C7A, C7B, C7C, C7D, C7E, C7F, C9A, C9B, C9C, C9D, C9E, C9F, C12A, C12B, C12C, C12D, C12E, C12F, C13A, C13B, C13C, C13D, C13E, C13F, C14A, C14B, C14C, C14D, C14E, C14F, C15A, C15B, C15C, C15D, C15E, C15F, C16A, C16B, C16C, C16D, C16E, C16F, C17A, C17B, C17C, C17D, C17E, C17F","FH (Guangdong Fenghua Advanced Tech)","56 pF","50V 56pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0402_TE","50V","","0402CG560J500NT","C1572"
"28","10 nF","C10A, C10B, C10C, C10D, C10E, C10F, C10G, C10H, C10I, C10J, C10K, C10L, C10M, C10N, C10O, C10P, C10Q, C10R, C10S, C10T, C10U, C10V, C10W, C10X, C28, C29, C63, C83","Murata Electronics","10 nF","25V 10nF C0G ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0402_TE","50V","","GRM1555C1E103JE01D","C3855387"
"2","1 µF","C18, C19","Samsung Electro-Mechanics","1 µF","1uF 50V X5R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0603_TE","16V","","CL10A105KB8NNNC","C15849"
"6","10 µF","C20, C21, C22, C65, C66, C67","Samsung Electro-Mechanics","10 µF","50V 10uF X7R ±10% 1206  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_1206_TE","","","CL31B106KBHNNNE","C89632"
"2","47 µF","C27, C72","Murata Electronics","47 µF","10V 47uF X7R ±10% 1210  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_1210_N","","","GRM32ER71A476KE15L","C84494"
"3","4.7 µF","C30A, C30B, C30C","Samsung Electro-Mechanics","4.7 µF","25V 4.7uF X5R ±10% 0805  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0805","","","CL21A475KAQNNNE","C1779"
"2","1 µF","C44, C45","Taiyo Yuden","1 µF","50V 1uF X7R ±10% 0603 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0603","","","UMK107AB7105KA-T","C105174"
"1","100 pF","C46","YAGEO","100 pF","2kV 100pF NP0 ±5% 1206 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_1206","","","CC1206JKNPODBN101","C113876"
"120","100 nF","C47A, C47B, C47C, C47D, C47E, C47F, C48A, C48B, C48C, C48D, C48E, C48F, C51A, C51B, C51C, C51D, C51E, C51F, C51G, C51H, C51I, C51J, C51K, C51L, C51M, C51N, C51O, C51P, C51Q, C51R, C51S, C51T, C51U, C51V, C51W, C51X, C52A, C52B, C52C, C52D, C52E, C52F, C52G, C52H, C52I, C52J, C52K, C52L, C52M, C52N, C52O, C52P, C52Q, C52R, C52S, C52T, C52U, C52V, C52W, C52X, C53A, C53B, C53C, C53D, C53E, C53F, C54A, C54B, C54C, C54D, C54E, C54F, C55A, C55B, C55C, C55D, C55E, C55F, C56A, C56B, C56C, C56D, C56E, C56F, C57A, C57B, C57C, C57D, C57E, C57F, C58A, C58B, C58C, C58D, C58E, C58F, C59A, C59B, C59C, C59D, C59E, C59F, C60A, C60B, C60C, C60D, C60E, C60F, C61A, C61B, C61C, C61D, C61E, C61F, C62A, C62B, C62C, C62D, C62E, C62F","Samsung Electro-Mechanics","100 nF","16V 100nF X7R ±10% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0402_TE","50V","","CL05B104KO5NNNC","C1525"
"48","1.5 nF","C49A, C49B, C49C, C49D, C49E, C49F, C49G, C49H, C49I, C49J, C49K, C49L, C49M, C49N, C49O, C49P, C49Q, C49R, C49S, C49T, C49U, C49V, C49W, C49X, C50A, C50B, C50C, C50D, C50E, C50F, C50G, C50H, C50I, C50J, C50K, C50L, C50M, C50N, C50O, C50P, C50Q, C50R, C50S, C50T, C50U, C50V, C50W, C50X","Murata Electronics","1.5 nF","50V 1.5nF null ±5% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C_0402_TE","50V","","GRM1555C1H152JA01D","C668348"
"1","LED Blue","D1","Everlight Elec","","LED BLUE 465~475NM 11.5~28.5MCD@5MA TOP VIEW 0603 ROHS","WL-SMCW_0603","","","19-217/BHC-ZL1M2RY/3T","C72041"
"1","LED Green","D2","Everlight Elec","","LED GREEN 520~535NM 112~258MCD@20MA TOP VIEW 0603 ROHS","WL-SMCW_0603","","","19-217/GHC-YR1S2/3T","C72043"
"1","LED Red","D3","Hubei KENTO Elec","","LED RED 520~625NM 90~100MCD@20MA TOP VIEW 0603 ROHS","WL-SMCW_0603","","","KT-0603R","C2286"
