Altium Designer Pick and Place Locations
C:\Users\ga92wum\git\UltraZohm\PCB\uz_a_max11331\Project Outputs for UZ_A_MAX11331\Rev03\Pick Place\Pick Place for UZ_A_MAX11331(Differential_Input).csv

========================================================================================================================
File Design Information:

Date:       08.10.25
Time:       09:34
Revision:   6069bf3c7b5eee1ff7ce18b4d4b98d3f15495086
Variant:    Differential_Input
Units used: mm

"Designator","Footprint","Ref-X(mm)","Center-X(mm)","Ref-Y(mm)","Center-Y(mm)","Pad-X(mm)","Pad-Y(mm)","Rotation","Comment","Layer"
"F1","1812_PTC_Polyfuse_Littelfuse","0.3000","0.3000","65.5000","65.5000","-2.0900","65.5000","0","Littelfuse_PTC_1812","TopLayer"
"C83","C_0402_TE","33.6000","33.6000","86.9000","86.9001","33.1400","86.9001","0","10 nF","TopLayer"
"C63","C_0402_TE","41.7000","41.7000","87.1000","87.1001","41.2400","87.1001","0","10 nF","TopLayer"
"C62F","C_0402_TE","89.2000","89.2000","82.6501","82.6501","89.6600","82.6501","180","100 nF","BottomLayer"
"C62E","C_0402_TE","89.2000","89.2000","69.6501","69.6501","89.6600","69.6501","180","100 nF","BottomLayer"
"C62D","C_0402_TE","89.2000","89.2000","56.6501","56.6501","89.6600","56.6501","180","100 nF","BottomLayer"
"C62C","C_0402_TE","89.2000","89.2000","43.6501","43.6501","89.6600","43.6501","180","100 nF","BottomLayer"
"C62B","C_0402_TE","89.2000","89.2000","30.6501","30.6501","89.6600","30.6501","180","100 nF","BottomLayer"
"C62A","C_0402_TE","89.2000","89.2000","17.6501","17.6501","89.6600","17.6501","180","100 nF","BottomLayer"
"C61F","C_0402_TE","87.7000","87.6999","86.4079","86.4079","87.6999","86.8679","270","100 nF","BottomLayer"
"C61E","C_0402_TE","87.7000","87.6999","73.4079","73.4079","87.6999","73.8679","270","100 nF","BottomLayer"
"C61D","C_0402_TE","87.7000","87.6999","60.4079","60.4079","87.6999","60.8679","270","100 nF","BottomLayer"
"C61C","C_0402_TE","87.7000","87.6999","47.4079","47.4079","87.6999","47.8679","270","100 nF","BottomLayer"
"C61B","C_0402_TE","87.7000","87.6999","34.4079","34.4079","87.6999","34.8679","270","100 nF","BottomLayer"
"C61A","C_0402_TE","87.7000","87.6999","21.4079","21.4079","87.6999","21.8679","270","100 nF","BottomLayer"
